feature,category_id,label,pc1,pc2,plot_color
exterior_color,1,Silver,4.168370246887207,-0.06372655928134918,#BFC4C7
exterior_color,2,White,1.2358649969100952,1.5268627405166626,#F2F0E8
exterior_color,3,Blue,-1.0010701417922974,1.8601536750793457,#2F6FDB
exterior_color,4,Gray,-4.980142116546631,0.9723584651947021,#8E969B
exterior_color,5,Red,1.1473063230514526,1.5331151485443115,#B83B2E
exterior_color,6,Black,-0.5703290104866028,-5.828763961791992,#151515
interior_color,1,Gray,5.082882404327393,1.8033685684204102,#8E969B
interior_color,2,Beige,1.0755809545516968,-2.8613150119781494,#D7C59D
interior_color,3,Black,-2.566619634628296,-2.232450485229492,#151515
interior_color,4,Brown,-3.5918452739715576,3.2903943061828613,#7A4E2C
